Country,Events,Fatalities,Date
Afghanistan,866,2417,2017-01-01
Afghanistan,697,2202,2017-02-01
Afghanistan,1166,3217,2017-03-01
Afghanistan,1079,3679,2017-04-01
Afghanistan,1229,4303,2017-05-01
Afghanistan,904,2117,2017-06-01
Afghanistan,1303,4241,2017-07-01
Afghanistan,1371,3492,2017-08-01
Afghanistan,943,2648,2017-09-01
Afghanistan,1253,3588,2017-10-01
Afghanistan,1167,1857,2017-11-01
Afghanistan,946,2600,2017-12-01
Afghanistan,1096,2811,2018-01-01
Afghanistan,880,1825,2018-02-01
Afghanistan,939,2269,2018-03-01
Afghanistan,1193,2767,2018-04-01
Afghanistan,1455,4246,2018-05-01
Afghanistan,1333,3623,2018-06-01
Afghanistan,1508,5423,2018-07-01
Afghanistan,1332,4874,2018-08-01
Afghanistan,998,4217,2018-09-01
Afghanistan,990,3527,2018-10-01
Afghanistan,954,3889,2018-11-01
Afghanistan,984,3516,2018-12-01
Afghanistan,926,3242,2019-01-01
Afghanistan,759,2485,2019-02-01
Afghanistan,900,3149,2019-03-01
Afghanistan,942,2777,2019-04-01
Afghanistan,909,3396,2019-05-01
Afghanistan,1008,3210,2019-06-01
Afghanistan,1442,4344,2019-07-01
Afghanistan,1465,4493,2019-08-01
Afghanistan,1674,5497,2019-09-01
Afghanistan,1409,3584,2019-10-01
Afghanistan,1098,2250,2019-11-01
Afghanistan,1082,3004,2019-12-01
Afghanistan,1027,1734,2020-01-01
Afghanistan,766,1409,2020-02-01
Afghanistan,766,1638,2020-03-01
Afghanistan,560,2167,2020-04-01
Afghanistan,575,2219,2020-05-01
Afghanistan,639,2474,2020-06-01
Afghanistan,827,3620,2020-07-01
Afghanistan,828,2909,2020-08-01
Afghanistan,853,3175,2020-09-01
Afghanistan,1052,3397,2020-10-01
Afghanistan,956,3279,2020-11-01
Afghanistan,907,2948,2020-12-01
Afghanistan,1003,3013,2021-01-01
Afghanistan,973,2674,2021-02-01
Afghanistan,986,2370,2021-03-01
Afghanistan,1149,3557,2021-04-01
Afghanistan,1341,6345,2021-05-01
Afghanistan,1459,8569,2021-06-01
Afghanistan,1001,8747,2021-07-01
Afghanistan,583,5917,2021-08-01
Afghanistan,113,288,2021-09-01
Afghanistan,148,419,2021-10-01
Afghanistan,152,269,2021-11-01
Afghanistan,159,188,2021-12-01
Afghanistan,211,319,2022-01-01
Afghanistan,181,231,2022-02-01
Afghanistan,203,212,2022-03-01
Afghanistan,273,539,2022-04-01
Afghanistan,276,423,2022-05-01
Afghanistan,251,532,2022-06-01
Afghanistan,196,386,2022-07-01
Afghanistan,189,392,2022-08-01
Afghanistan,196,408,2022-09-01
Afghanistan,158,295,2022-10-01
Afghanistan,110,136,2022-11-01
Afghanistan,96,135,2022-12-01
Afghanistan,87,121,2023-01-01
Afghanistan,88,84,2023-02-01
Afghanistan,28,44,2023-03-01
