ADM1NameEnglish,ADM2NameEnglish,SettlementCode,Arrival IDPs,Fled IDPs,Returned IDPs,Outmigrants ,Returnees from Abroad
Badakhshan,Arghanj Khwah,AF1703_V_0007,7,49,28,0,5
Badakhshan,Arghanj Khwah,AF1703_V_0010,0,127,105,168,6
Badakhshan,Arghanj Khwah,AF1703_V_0013,34,147,21,7,0
Badakhshan,Arghanj Khwah,AF1703_V_0014,0,42,14,0,1
Badakhshan,Arghanj Khwah,AF1703_V_0016,0,105,105,8,39
Badakhshan,Arghanj Khwah,AF1703_V_0021,0,0,230,0,0
Badakhshan,Arghanj Khwah,AF1703_V_0022,0,21,28,15,0
Badakhshan,Arghanj Khwah,AF1703_V_0025,28,28,63,0,15
Badakhshan,Arghanj Khwah,AF1703_V_0028,0,91,7,0,0
Badakhshan,Arghanj Khwah,AF1703_V_0030,0,0,7,3,2
Badakhshan,Arghanj Khwah,AF1703_V_0032,21,28,42,7,2
Badakhshan,Arghanj Khwah,AF1703_V_0036,49,98,111,7,3
Badakhshan,Arghanj Khwah,AF1703_V_0043,0,49,0,63,0
Badakhshan,Arghanj Khwah,AF1703_V_0045,0,28,14,0,0
Badakhshan,Arghanj Khwah,AF1703_V_0046,0,210,0,22,0
Badakhshan,Arghanj Khwah,AF1703_V_0050,0,0,98,0,3
Badakhshan,Arghanj Khwah,AF1703_V_0051,21,98,147,18,24
Badakhshan,Arghanj Khwah,AF1703_V_0052,7,0,21,17,12
Badakhshan,Arghanj Khwah,AF1703_V_0054,0,14,0,1,0
Badakhshan,Argo,AF1702_V_0010,0,544,415,745,130
Badakhshan,Argo,AF1702_V_0039,7,147,84,99,30
Badakhshan,Argo,AF1702_V_0040,221,77,147,326,382
Badakhshan,Argo,AF1702_V_0051,105,42,74,221,222
Badakhshan,Argo,AF1702_V_0052,0,343,49,18,56
Badakhshan,Argo,AF1702_V_0057,45,313,193,450,51
Badakhshan,Argo,AF1702_V_0069,13,288,232,128,69
Badakhshan,Argo,AF1702_V_0071,560,350,455,566,165
Badakhshan,Argo,AF1702_V_0076,147,189,397,1028,993
Badakhshan,Argo,AF1702_V_0081,0,385,399,520,238
Badakhshan,Argo,AF1702_V_0083,0,21,0,179,18
Badakhshan,Argo,AF1702_V_0086,507,1487,1031,963,649
Badakhshan,Argo,AF1702_V_0087,43,0,157,272,150
Badakhshan,Argo,AF1702_V_0088,0,231,49,965,332
Badakhshan,Argo,AF1702_V_0092,0,49,189,900,274
Badakhshan,Argo,AF1702_V_0093,0,421,133,425,74
Badakhshan,Argo,AF1702_V_0099,0,143,40,145,150
Badakhshan,Argo,AF1702_V_0103,14,49,112,52,124
Badakhshan,Argo,AF1702_V_0111,119,161,109,308,259
Badakhshan,Argo,AF1702_V_0145,470,272,287,335,294
Badakhshan,Argo,AF1702_V_0147,56,1190,490,333,485
Badakhshan,Argo,AF1702_V_0158,21,142,616,473,481
Badakhshan,Argo,AF1702_V_0172,7,252,252,212,77
Badakhshan,Argo,AF1702_V_0175,0,294,311,296,206
Badakhshan,Argo,AF1702_V_0176,77,0,112,699,386
Badakhshan,Argo,AF1702_V_0182,28,210,30,297,98
Badakhshan,Argo,AF1702_V_0185,45,375,516,651,201
Badakhshan,Argo,AF1702_V_0187,751,476,859,1008,496
Badakhshan,Argo,AF1702_V_0190,70,126,273,664,289
Badakhshan,Argo,AF1702_V_0206,0,1757,973,621,316
Badakhshan,Argo,AF1702_V_0208,21,287,84,658,249
Badakhshan,Argo,AF1702_V_0209,20,21,71,72,41
Badakhshan,Argo,AF1702_V_0210,7,0,21,158,78
Badakhshan,Argo,AF1702_V_0211,0,313,217,152,193
Badakhshan,Argo,AF1702_V_0212,49,160,348,637,251
Badakhshan,Argo,AF1702_V_0059,5,71,172,204,81
Badakhshan,Argo,AF1702_V_0166,0,0,49,51,27
Badakhshan,Argo,AF1702_V_0168,21,0,105,17,10
Badakhshan,Argo,AF1702_V_0180,56,0,35,66,24
Badakhshan,Baharak,AF1706_V_0001,21,105,140,71,11
Badakhshan,Baharak,AF1706_V_0004,42,706,532,141,49
Badakhshan,Baharak,AF1706_V_0006,105,322,124,299,321
Badakhshan,Baharak,AF1706_V_0009,0,0,0,162,20
Badakhshan,Baharak,AF1706_V_0010,70,63,450,26,136
Badakhshan,Baharak,AF1706_V_0011,224,140,232,106,115
Badakhshan,Baharak,AF1706_V_0013,294,322,203,320,70
Badakhshan,Baharak,AF1706_V_0016,1192,154,366,554,286
Badakhshan,Baharak,AF1706_V_0018,89,308,59,123,53
Badakhshan,Baharak,AF1706_V_0019,77,42,35,131,91
Badakhshan,Baharak,AF1706_V_0022,91,182,63,105,65
Badakhshan,Baharak,AF1706_V_0023,175,147,84,80,31
Badakhshan,Baharak,AF1706_V_0024,812,224,210,239,144
Badakhshan,Baharak,AF1706_V_0025,140,242,77,145,10
Badakhshan,Baharak,AF1706_V_0026,56,0,0,253,62
Badakhshan,Baharak,AF1706_V_0030,0,0,0,26,6
Badakhshan,Baharak,AF1706_V_0031,245,238,91,185,51
Badakhshan,Baharak,AF1706_V_0034,112,341,70,83,165
Badakhshan,Baharak,AF1706_V_0035,64,220,105,110,64
Badakhshan,Baharak,AF1706_V_0037,42,214,115,48,25
Badakhshan,Baharak,AF1706_V_0038,28,256,77,255,185
Badakhshan,Baharak,AF1706_V_0040,77,406,42,70,70
Badakhshan,Baharak,AF1706_V_0047,378,49,42,201,0
Badakhshan,Baharak,AF1706_V_0048,579,0,371,51,52
Badakhshan,Baharak,AF1706_V_0049,301,315,0,235,113
Badakhshan,Baharak,AF1706_V_0050,399,451,126,278,225
Badakhshan,Baharak,AF1706_V_0056,1519,63,596,233,113
Badakhshan,Baharak,AF1706_V_0057,56,42,42,492,48
Badakhshan,Baharak,AF1706_V_0059,133,63,49,155,59
Badakhshan,Baharak,AF1706_V_0063,196,126,0,140,41
Badakhshan,Baharak,AF1706_V_0065,140,309,140,325,95
Badakhshan,Baharak,AF1706_V_0066,35,270,70,158,58
Badakhshan,Baharak,AF1706_V_0067,217,63,0,283,0
Badakhshan,Baharak,AF1706_V_0068,70,49,56,188,130
Badakhshan,Baharak,AF1706_V_0069,0,105,245,228,0
Badakhshan,Baharak,AF1706_V_0070,238,77,287,189,349
Badakhshan,Baharak,AF1706_V_0072,0,0,49,203,22
Badakhshan,Baharak,AF1706_V_0073,77,112,63,68,77
Badakhshan,Baharak,AF1706_V_0076,98,66,1523,57,121
Badakhshan,Baharak,AF1706_V_0079,742,187,0,175,90
Badakhshan,Baharak,AF1706_V_0080,140,0,0,290,67
Badakhshan,Baharak,AF1706_V_0081,77,371,90,574,613
Badakhshan,Baharak,AF1706_V_0082,56,407,126,306,143
Badakhshan,Baharak,AF1706_V_0083,233,177,624,64,179
Badakhshan,Baharak,AF1706_V_0086,21,546,111,175,109
Badakhshan,Baharak,AF1706_V_0088,0,224,105,267,50
Badakhshan,Baharak,AF1706_V_0092,400,84,133,207,56
Badakhshan,Baharak,AF1706_V_0093,273,0,97,141,32
Badakhshan,Baharak,AF1706_V_0094,112,350,91,54,64
Badakhshan,Baharak,AF1706_V_0095,252,299,49,72,47
Badakhshan,Baharak,AF1706_V_0096,2021,112,420,153,75
Badakhshan,Baharak,AF1706_V_0097,301,28,147,189,106
Badakhshan,Baharak,AF1706_V_0103,329,730,2316,368,327
Badakhshan,Baharak,AF1706_V_0105,35,196,56,158,54
Badakhshan,Baharak,AF1706_V_0106,196,245,84,645,156
Badakhshan,Baharak,AF1706_V_0107,56,98,79,131,124
Badakhshan,Baharak,AF1706_V_0108,91,84,77,196,96
Badakhshan,Baharak,AF1706_V_0111,63,49,42,44,24
