ADM1NameEnglish,ADM2NameEnglish,SettlementCode,Arrival IDPs,Fled IDPs,Returned IDPs,Outmigrants,Returnees from Abroad,Net_IDPs
Badakhshan,Arghanj Khwah,AF1703_V_0007,7,49,28,0,5,-9
Badakhshan,Arghanj Khwah,AF1703_V_0010,0,127,105,168,6,-184
Badakhshan,Arghanj Khwah,AF1703_V_0013,34,147,21,7,0,-99
Badakhshan,Arghanj Khwah,AF1703_V_0014,0,42,14,0,1,-27
Badakhshan,Arghanj Khwah,AF1703_V_0016,0,105,105,8,39,31
Badakhshan,Arghanj Khwah,AF1703_V_0021,0,0,230,0,0,230
Badakhshan,Arghanj Khwah,AF1703_V_0022,0,21,28,15,0,-8
Badakhshan,Arghanj Khwah,AF1703_V_0025,28,28,63,0,15,78
Badakhshan,Arghanj Khwah,AF1703_V_0028,0,91,7,0,0,-84
Badakhshan,Arghanj Khwah,AF1703_V_0030,0,0,7,3,2,6
Badakhshan,Arghanj Khwah,AF1703_V_0032,21,28,42,7,2,30
Badakhshan,Arghanj Khwah,AF1703_V_0036,49,98,111,7,3,58
Badakhshan,Arghanj Khwah,AF1703_V_0043,0,49,0,63,0,-112
Badakhshan,Arghanj Khwah,AF1703_V_0045,0,28,14,0,0,-14
Badakhshan,Arghanj Khwah,AF1703_V_0046,0,210,0,22,0,-232
Badakhshan,Arghanj Khwah,AF1703_V_0050,0,0,98,0,3,101
Badakhshan,Arghanj Khwah,AF1703_V_0051,21,98,147,18,24,76
Badakhshan,Arghanj Khwah,AF1703_V_0052,7,0,21,17,12,23
Badakhshan,Arghanj Khwah,AF1703_V_0054,0,14,0,1,0,-15
Badakhshan,Argo,AF1702_V_0010,0,544,415,745,130,-744
Badakhshan,Argo,AF1702_V_0039,7,147,84,99,30,-125
Badakhshan,Argo,AF1702_V_0040,221,77,147,326,382,347
Badakhshan,Argo,AF1702_V_0051,105,42,74,221,222,138
Badakhshan,Argo,AF1702_V_0052,0,343,49,18,56,-256
Badakhshan,Argo,AF1702_V_0057,45,313,193,450,51,-474
Badakhshan,Argo,AF1702_V_0069,13,288,232,128,69,-102
Badakhshan,Argo,AF1702_V_0071,560,350,455,566,165,264
Badakhshan,Argo,AF1702_V_0076,147,189,397,1028,993,320
Badakhshan,Argo,AF1702_V_0081,0,385,399,520,238,-268
Badakhshan,Argo,AF1702_V_0083,0,21,0,179,18,-182
Badakhshan,Argo,AF1702_V_0086,507,1487,1031,963,649,-263
Badakhshan,Argo,AF1702_V_0087,43,0,157,272,150,78
Badakhshan,Argo,AF1702_V_0088,0,231,49,965,332,-815
Badakhshan,Argo,AF1702_V_0092,0,49,189,900,274,-486
Badakhshan,Argo,AF1702_V_0093,0,421,133,425,74,-639
Badakhshan,Argo,AF1702_V_0099,0,143,40,145,150,-98
Badakhshan,Argo,AF1702_V_0103,14,49,112,52,124,149
Badakhshan,Argo,AF1702_V_0111,119,161,109,308,259,18
Badakhshan,Argo,AF1702_V_0145,470,272,287,335,294,444
Badakhshan,Argo,AF1702_V_0147,56,1190,490,333,485,-492
Badakhshan,Argo,AF1702_V_0158,21,142,616,473,481,503
Badakhshan,Argo,AF1702_V_0172,7,252,252,212,77,-128
Badakhshan,Argo,AF1702_V_0175,0,294,311,296,206,-73
Badakhshan,Argo,AF1702_V_0176,77,0,112,699,386,-124
Badakhshan,Argo,AF1702_V_0182,28,210,30,297,98,-351
Badakhshan,Argo,AF1702_V_0185,45,375,516,651,201,-264
Badakhshan,Argo,AF1702_V_0187,751,476,859,1008,496,622
Badakhshan,Argo,AF1702_V_0190,70,126,273,664,289,-158
Badakhshan,Argo,AF1702_V_0206,0,1757,973,621,316,-1089
Badakhshan,Argo,AF1702_V_0208,21,287,84,658,249,-591
Badakhshan,Argo,AF1702_V_0209,20,21,71,72,41,39
Badakhshan,Argo,AF1702_V_0210,7,0,21,158,78,-52
Badakhshan,Argo,AF1702_V_0211,0,313,217,152,193,-55
Badakhshan,Argo,AF1702_V_0212,49,160,348,637,251,-149
Badakhshan,Argo,AF1702_V_0059,5,71,172,204,81,-17
Badakhshan,Argo,AF1702_V_0166,0,0,49,51,27,25
Badakhshan,Argo,AF1702_V_0168,21,0,105,17,10,119
Badakhshan,Argo,AF1702_V_0180,56,0,35,66,24,49
Badakhshan,Baharak,AF1706_V_0001,21,105,140,71,11,-4
Badakhshan,Baharak,AF1706_V_0004,42,706,532,141,49,-224
Badakhshan,Baharak,AF1706_V_0006,105,322,124,299,321,-71
Badakhshan,Baharak,AF1706_V_0009,0,0,0,162,20,-142
Badakhshan,Baharak,AF1706_V_0010,70,63,450,26,136,567
Badakhshan,Baharak,AF1706_V_0011,224,140,232,106,115,325
Badakhshan,Baharak,AF1706_V_0013,294,322,203,320,70,-75
Badakhshan,Baharak,AF1706_V_0016,1192,154,366,554,286,1136
Badakhshan,Baharak,AF1706_V_0018,89,308,59,123,53,-230
Badakhshan,Baharak,AF1706_V_0019,77,42,35,131,91,30
Badakhshan,Baharak,AF1706_V_0022,91,182,63,105,65,-68
Badakhshan,Baharak,AF1706_V_0023,175,147,84,80,31,63
Badakhshan,Baharak,AF1706_V_0024,812,224,210,239,144,703
Badakhshan,Baharak,AF1706_V_0025,140,242,77,145,10,-160
Badakhshan,Baharak,AF1706_V_0026,56,0,0,253,62,-135
Badakhshan,Baharak,AF1706_V_0030,0,0,0,26,6,-20
Badakhshan,Baharak,AF1706_V_0031,245,238,91,185,51,-36
Badakhshan,Baharak,AF1706_V_0034,112,341,70,83,165,-77
Badakhshan,Baharak,AF1706_V_0035,64,220,105,110,64,-97
Badakhshan,Baharak,AF1706_V_0037,42,214,115,48,25,-80
Badakhshan,Baharak,AF1706_V_0038,28,256,77,255,185,-221
Badakhshan,Baharak,AF1706_V_0040,77,406,42,70,70,-287
Badakhshan,Baharak,AF1706_V_0047,378,49,42,201,0,170
Badakhshan,Baharak,AF1706_V_0048,579,0,371,51,52,951
Badakhshan,Baharak,AF1706_V_0049,301,315,0,235,113,-136
Badakhshan,Baharak,AF1706_V_0050,399,451,126,278,225,21
Badakhshan,Baharak,AF1706_V_0056,1519,63,596,233,113,1932
Badakhshan,Baharak,AF1706_V_0057,56,42,42,492,48,-388
Badakhshan,Baharak,AF1706_V_0059,133,63,49,155,59,23
Badakhshan,Baharak,AF1706_V_0063,196,126,0,140,41,-29
