Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2001,AFG,AFG,Afghanistan,Afghanistan,IDP,Central,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380000
2001,AFG,AFG,Afghanistan,Afghanistan,IDP,Dispersed in the country / territory,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000
2001,AFG,AFG,Afghanistan,Afghanistan,IDP,North,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
2001,AFG,AFG,Afghanistan,Afghanistan,IDP,West,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
2001,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26092
2001,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Kabul,R,U,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2001,IRQ,AFG,Iraq,Afghanistan,REF,Kabul,R,U,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5
2002,AFG,AFG,Afghanistan,Afghanistan,IDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665156
2002,AFG,AFG,Afghanistan,Afghanistan,RDP,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753344
2002,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,R,U,0,0,0,0,0,840298,840298,0,0,0,0,0,961748,961748,1802046
2002,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155909
2002,IRN,AFG,Iran (Islamic Republic of),Afghanistan,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2002,IRQ,AFG,Iraq,Afghanistan,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2003,AFG,AFG,Afghanistan,Afghanistan,IDP,Dispersed in the country / territory,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184269
2003,AFG,AFG,Afghanistan,Afghanistan,RDP,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82067
2003,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,R,U,40227,44717,38328,83492,7007,0,213771,41787,48251,41358,119725,9527,0,260648,474419
2003,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171443
2003,CHN,AFG,China,Afghanistan,ASY,Dispersed in the country / territory,R,U,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5
2003,IRN,AFG,Iran (Islamic Republic of),Afghanistan,ASY,Dispersed in the country / territory,R,U,0,0,0,0,0,9,9,0,0,0,0,0,32,32,41
2003,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,9,9,0,0,0,0,0,10,10,19
2003,IRQ,AFG,Iraq,Afghanistan,ASY,Dispersed in the country / territory,R,U,0,0,0,0,0,6,6,0,0,0,0,0,19,19,25
2003,IRQ,AFG,Iraq,Afghanistan,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2004,AFG,AFG,Afghanistan,Afghanistan,IDP,Dispersed in the country / territory,C,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159549
2004,AFG,AFG,Afghanistan,Afghanistan,RDP,Dispersed in the country / territory,R,U,0,0,0,0,0,12926,12926,0,0,0,0,0,14465,14465,27391
2004,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,R,U,80027,73252,62788,141657,7063,0,364787,83991,78813,67554,154243,11464,0,396065,760852
2004,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118928
2004,IRN,AFG,Iran (Islamic Republic of),Afghanistan,ASY,Dispersed in the country / territory,R,U,0,0,0,0,0,5,5,0,0,0,0,0,23,23,28
2004,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Dispersed in the country / territory,R,U,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
2004,IRN,AFG,Iran (Islamic Republic of),Afghanistan,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2004,IRQ,AFG,Iraq,Afghanistan,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,AFG,AFG,Afghanistan,Afghanistan,IDP,Badghis,R,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715
