ADM1NameEnglish,ArrivalIDPs2012_18,ArrivalIDPs2019,ArrivalIDPs2020,ArrivalIDPs2021,ArrivalIDPs2022,FledIDPs2012_18,FledIDPs2019,FledIDPs2020,FledIDPs2021,FledIDPs2022
#adm1+name,,,,,,,,,,
Kabul,1422.0,49.0,378.0,413.0,1302.0,0.0,21.0,140.0,210.0,140.0
Kabul,1554.0,280.0,448.0,946.0,547.0,0.0,49.0,245.0,385.0,315.0
Kabul,1421.0,490.0,1253.0,952.0,828.0,0.0,102.0,140.0,315.0,385.0
Kabul,1466.0,553.0,1568.0,4848.0,1847.0,0.0,70.0,140.0,140.0,560.0
Kabul,749.0,98.0,189.0,231.0,259.0,0.0,0.0,105.0,70.0,105.0
Kabul,1043.0,140.0,399.0,1086.0,448.0,0.0,21.0,105.0,105.0,140.0
Kabul,210.0,455.0,956.0,931.0,644.0,0.0,0.0,140.0,210.0,280.0
Kabul,828.0,98.0,273.0,1190.0,875.0,0.0,14.0,105.0,210.0,140.0
Kabul,3350.0,1680.0,1071.0,1680.0,868.0,0.0,70.0,210.0,210.0,280.0
Kabul,479.0,119.0,511.0,959.0,371.0,0.0,0.0,140.0,175.0,140.0
Kabul,973.0,308.0,665.0,669.0,658.0,105.0,14.0,140.0,210.0,140.0
Kabul,1325.0,182.0,882.0,1120.0,957.0,0.0,35.0,210.0,350.0,280.0
Kabul,322.0,42.0,392.0,718.0,308.0,0.0,105.0,70.0,70.0,70.0
Kabul,1883.0,1211.0,1498.0,1598.0,1050.0,0.0,0.0,140.0,280.0,350.0
Kabul,777.0,168.0,315.0,434.0,560.0,0.0,14.0,70.0,70.0,210.0
Kabul,829.0,273.0,714.0,485.0,623.0,0.0,14.0,140.0,105.0,210.0
Kabul,1386.0,1344.0,1379.0,952.0,686.0,0.0,0.0,210.0,280.0,210.0
Kabul,2790.0,973.0,2443.0,1400.0,882.0,0.0,35.0,140.0,350.0,0.0
Kabul,664.0,175.0,434.0,539.0,238.0,0.0,28.0,140.0,315.0,140.0
Kabul,1238.0,273.0,1203.0,1480.0,1050.0,0.0,105.0,245.0,455.0,455.0
Kabul,1116.0,56.0,448.0,315.0,98.0,0.0,0.0,70.0,0.0,70.0
Kabul,696.0,165.0,315.0,592.0,441.0,0.0,21.0,70.0,350.0,140.0
Kabul,766.0,714.0,912.0,1442.0,1715.0,0.0,0.0,210.0,296.0,350.0
Kabul,1001.0,528.0,483.0,875.0,630.0,0.0,0.0,210.0,280.0,455.0
Kabul,447.0,119.0,354.0,740.0,387.0,0.0,14.0,105.0,105.0,140.0
Kabul,1179.0,126.0,322.0,525.0,476.0,35.0,14.0,140.0,385.0,140.0
Kabul,56.0,35.0,546.0,546.0,560.0,0.0,0.0,70.0,105.0,210.0
Kabul,1105.0,245.0,385.0,406.0,385.0,0.0,21.0,105.0,210.0,210.0
Kabul,900.0,210.0,469.0,567.0,210.0,0.0,28.0,70.0,140.0,140.0
Kabul,1050.0,112.0,644.0,1001.0,518.0,0.0,21.0,7.0,210.0,210.0
Kabul,273.0,315.0,399.0,728.0,602.0,56.0,77.0,70.0,276.0,280.0
Kabul,350.0,861.0,1096.0,1239.0,707.0,70.0,70.0,350.0,420.0,245.0
Kabul,98.0,7.0,126.0,126.0,21.0,98.0,14.0,28.0,14.0,21.0
Kabul,105.0,28.0,168.0,504.0,49.0,0.0,35.0,28.0,147.0,0.0
Kabul,146.0,0.0,91.0,126.0,28.0,161.0,35.0,14.0,14.0,0.0
Kabul,232.0,70.0,756.0,406.0,665.0,0.0,0.0,0.0,0.0,0.0
Kabul,77.0,14.0,14.0,56.0,14.0,89.0,7.0,7.0,70.0,14.0
Kabul,166.0,42.0,42.0,112.0,42.0,147.0,0.0,7.0,0.0,21.0
Kabul,0.0,0.0,0.0,490.0,196.0,0.0,0.0,0.0,0.0,28.0
Kabul,14.0,0.0,154.0,154.0,63.0,0.0,0.0,0.0,70.0,14.0
Kabul,112.0,35.0,784.0,231.0,140.0,195.0,21.0,84.0,70.0,0.0
Kabul,1037.0,98.0,266.0,623.0,105.0,0.0,35.0,35.0,175.0,0.0
Kabul,98.0,21.0,427.0,714.0,98.0,109.0,14.0,7.0,98.0,35.0
Kabul,689.0,21.0,406.0,567.0,266.0,0.0,21.0,105.0,70.0,42.0
Kabul,153.0,28.0,210.0,273.0,84.0,166.0,14.0,28.0,98.0,14.0
Kabul,397.0,28.0,1708.0,567.0,364.0,206.0,0.0,77.0,98.0,70.0
Kabul,0.0,14.0,91.0,42.0,14.0,80.0,7.0,42.0,14.0,0.0
Kabul,825.0,35.0,133.0,504.0,840.0,0.0,0.0,0.0,175.0,560.0
Kabul,580.0,14.0,154.0,2142.0,693.0,251.0,0.0,0.0,406.0,70.0
Kabul,554.0,49.0,868.0,1195.0,210.0,0.0,28.0,21.0,210.0,35.0
Kabul,178.0,49.0,350.0,259.0,42.0,0.0,0.0,0.0,42.0,7.0
Kabul,479.0,35.0,77.0,154.0,140.0,450.0,35.0,35.0,70.0,0.0
Kabul,558.0,14.0,196.0,203.0,21.0,0.0,210.0,70.0,35.0,0.0
Kabul,0.0,0.0,203.0,350.0,21.0,0.0,0.0,0.0,0.0,56.0
Kabul,0.0,7.0,21.0,14.0,7.0,7.0,14.0,0.0,7.0,7.0
Kabul,7.0,0.0,0.0,35.0,7.0,186.0,7.0,0.0,35.0,0.0
Kabul,256.0,42.0,22.0,28.0,7.0,0.0,0.0,0.0,14.0,7.0
Kabul,7.0,0.0,112.0,189.0,14.0,0.0,0.0,42.0,154.0,21.0
Kabul,302.0,49.0,385.0,700.0,336.0,217.0,42.0,7.0,259.0,0.0
Kabul,7.0,28.0,28.0,210.0,0.0,175.0,21.0,0.0,28.0,21.0
Kabul,0.0,0.0,315.0,98.0,14.0,7.0,0.0,0.0,91.0,0.0
Kabul,7.0,14.0,210.0,126.0,238.0,110.0,0.0,70.0,91.0,35.0
Kabul,14.0,0.0,28.0,14.0,56.0,0.0,0.0,0.0,0.0,0.0
Kabul,147.0,21.0,399.0,525.0,42.0,377.0,14.0,35.0,35.0,35.0
Kabul,189.0,42.0,245.0,371.0,0.0,298.0,14.0,28.0,42.0,0.0
Kabul,394.0,28.0,91.0,532.0,21.0,0.0,28.0,7.0,14.0,0.0
Kabul,258.0,7.0,35.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0
Kabul,249.0,98.0,98.0,322.0,42.0,0.0,35.0,10.0,0.0,0.0
Kabul,103.0,21.0,21.0,42.0,0.0,113.0,0.0,28.0,35.0,14.0
Kabul,91.0,21.0,21.0,28.0,0.0,323.0,14.0,70.0,56.0,0.0
Kabul,70.0,7.0,49.0,105.0,21.0,112.0,14.0,14.0,63.0,21.0
Kabul,107.0,28.0,35.0,28.0,7.0,84.0,14.0,7.0,112.0,28.0
Kabul,70.0,7.0,42.0,119.0,7.0,175.0,28.0,28.0,140.0,0.0
Kabul,210.0,28.0,56.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabul,504.0,63.0,168.0,187.0,0.0,0.0,21.0,56.0,42.0,0.0
Kabul,315.0,42.0,84.0,217.0,119.0,0.0,35.0,49.0,105.0,105.0
Kabul,259.0,112.0,63.0,154.0,179.0,0.0,21.0,0.0,0.0,70.0
Kabul,1820.0,518.0,483.0,870.0,497.0,0.0,70.0,35.0,21.0,280.0
Kabul,854.0,133.0,14.0,36.0,42.0,0.0,21.0,35.0,63.0,70.0
Kabul,448.0,56.0,28.0,84.0,28.0,0.0,0.0,63.0,28.0,0.0
Kabul,1365.0,406.0,854.0,2621.0,322.0,0.0,21.0,0.0,49.0,245.0
Kabul,210.0,14.0,42.0,85.0,28.0,0.0,21.0,0.0,0.0,56.0
Kabul,2121.0,595.0,469.0,518.0,273.0,0.0,0.0,0.0,0.0,105.0
Kabul,0.0,0.0,385.0,679.0,301.0,0.0,0.0,0.0,140.0,70.0
Kabul,511.0,0.0,0.0,189.0,112.0,0.0,14.0,14.0,112.0,56.0
Kabul,406.0,49.0,63.0,259.0,70.0,0.0,14.0,70.0,70.0,105.0
Kabul,588.0,140.0,357.0,617.0,602.0,0.0,21.0,70.0,70.0,350.0
Kabul,105.0,109.0,105.0,137.0,63.0,0.0,14.0,21.0,14.0,56.0
Kabul,329.0,56.0,14.0,123.0,35.0,0.0,0.0,0.0,0.0,0.0
Kabul,0.0,490.0,217.0,161.0,91.0,0.0,70.0,63.0,56.0,70.0
Kabul,1937.0,147.0,556.0,1372.0,651.0,0.0,35.0,0.0,0.0,210.0
Kabul,819.0,189.0,168.0,252.0,70.0,0.0,28.0,35.0,70.0,126.0
Kabul,525.0,42.0,63.0,231.0,126.0,0.0,7.0,14.0,42.0,105.0
Kabul,98.0,21.0,91.0,137.0,49.0,0.0,0.0,0.0,0.0,0.0
Kabul,441.0,126.0,70.0,140.0,91.0,0.0,28.0,42.0,42.0,0.0
Kabul,0.0,105.0,21.0,525.0,91.0,0.0,0.0,0.0,0.0,0.0
