Date,Fatalities,Events
2017-01-01,2417,866
2017-02-01,2202,697
2017-03-01,3217,1166
2017-04-01,3679,1079
2017-05-01,4303,1229
2017-06-01,2117,904
2017-07-01,4241,1303
2017-08-01,3492,1371
2017-09-01,2648,943
2017-10-01,3588,1253
2017-11-01,1857,1167
2017-12-01,2600,946
2018-01-01,2811,1096
2018-02-01,1825,880
2018-03-01,2269,939
2018-04-01,2767,1193
2018-05-01,4246,1455
2018-06-01,3623,1333
2018-07-01,5423,1508
2018-08-01,4874,1332
2018-09-01,4217,998
2018-10-01,3527,990
2018-11-01,3889,954
2018-12-01,3516,984
2019-01-01,3242,926
2019-02-01,2485,759
2019-03-01,3149,900
2019-04-01,2777,942
2019-05-01,3396,909
2019-06-01,3210,1008
2019-07-01,4344,1442
2019-08-01,4493,1465
2019-09-01,5497,1674
2019-10-01,3584,1409
2019-11-01,2250,1098
2019-12-01,3004,1082
2020-01-01,1734,1027
2020-02-01,1409,766
2020-03-01,1638,766
2020-04-01,2167,560
2020-05-01,2219,575
2020-06-01,2474,639
2020-07-01,3620,827
2020-08-01,2909,828
2020-09-01,3175,853
2020-10-01,3397,1052
2020-11-01,3279,956
2020-12-01,2948,907
2021-01-01,3013,1003
2021-02-01,2674,973
2021-03-01,2370,986
2021-04-01,3557,1149
2021-05-01,6345,1341
2021-06-01,8569,1459
2021-07-01,8747,1001
2021-08-01,5917,583
2021-09-01,288,113
2021-10-01,419,148
2021-11-01,269,152
2021-12-01,188,159
2022-01-01,319,211
2022-02-01,231,181
2022-03-01,212,203
2022-04-01,539,273
2022-05-01,423,276
2022-06-01,532,251
2022-07-01,386,196
2022-08-01,392,189
2022-09-01,408,196
2022-10-01,295,158
2022-11-01,136,110
2022-12-01,135,96
2023-01-01,121,87
2023-02-01,84,88
2023-03-01,44,28
